id,host_name,latitude,longitude,room_type,accommodates,bedrooms,beds,price,number_of_reviews,review_scores_rating,region_parent_name
18662223,Ellen,51.62416,-8.8887,Entire home/apt,4,2,2,$130.00,61,100,Cork County Council
7328652,Katy,53.52562,-6.08794,Entire home/apt,2,1,1,$80.00,337,97,Fingal County Council
16675472,Peter,54.61728,-8.59124,Entire home/apt,5,2,5,$143.00,75,97,Donegal County Council
13518644,Darragh,51.56743,-8.90994,Entire home/apt,2,1,2,$80.00,55,96,Cork County Council
6507689,Ina,51.61379,-8.97541,Entire home/apt,2,,1,$113.00,82,98,Cork County Council
34270674,Carol,54.64213,-8.3838,Entire home/apt,9,4,5,$150.00,33,100,Donegal County Council
34161754,David,54.47615,-8.28896,Entire home/apt,2,1,1,$40.00,0,,Donegal County Council
23489839,John,53.58483,-6.29084,Entire home/apt,4,2,3,$100.00,39,99,Fingal County Council
19139803,Noelle,51.57359,-9.04432,Entire home/apt,4,2,4,$129.00,50,100,Cork County Council
1270261,James,53.56548,-6.31617,Private room,6,1,6,$50.00,7,97,Fingal County Council
6010530,Julie,53.49126,-6.15549,Private room,2,1,1,$72.00,5,90,Fingal County Council
41043492,Ian,54.48014,-8.2759,Entire home/apt,5,2,3,$116.00,7,100,Donegal County Council
8498246,Stephen,51.55649,-8.90444,Entire home/apt,5,3,4,$150.00,23,99,Cork County Council
41787724,Mairead,54.63673,-8.44133,Entire home/apt,4,2,2,$150.00,0,,Donegal County Council
23346859,Peter,54.63203,-8.35898,Entire home/apt,7,4,4,$65.00,61,93,Donegal County Council
36100357,Julie,53.49928,-6.11622,Entire home/apt,4,1,2,$80.00,81,98,Fingal County Council
986839,Bellavista Hotel,51.85207,-8.29677,Entire home/apt,6,3,5,$227.00,35,92,Cork County Council
37799260,Bellavista Hotel,51.85028,-8.29452,Entire home/apt,12,4,8,$465.00,3,93,Cork County Council
19386579,Angela,53.47938,-6.19436,Private room,2,1,1,$82.00,46,97,Fingal County Council
7663623,Anita,54.63158,-8.35649,Entire home/apt,4,3,3,$85.00,48,99,Donegal County Council
35053334,D & S,51.84013,-8.6905,Private room,2,1,1,$50.00,10,100,Cork County Council
36182180,Mary,54.62939,-8.51422,Private room,2,1,1,$65.00,12,100,Donegal County Council
24762790,Barry,51.85745,-8.59753,Private room,2,,1,$42.00,43,93,Cork County Council
19734093,Kevin,54.64913,-8.10856,Entire home/apt,8,4,4,$164.00,45,100,Donegal County Council
33551033,Thomasina,54.03734,-6.18566,Entire home/apt,5,3,3,$195.00,33,100,Louth County Council
35536466,Christine,54.03297,-6.18347,Entire home/apt,12,5,7,$471.00,17,100,Louth County Council
23474555,Amanda,51.97321,-8.59618,Private room,2,1,2,$100.00,0,,Cork County Council
26022645,Marie,54.02815,-6.17368,Entire home/apt,15,6,11,$500.00,17,99,Louth County Council
19950566,Jackie,54.63504,-8.12149,Private room,2,1,1,$25.00,58,98,Donegal County Council
27479989,Ailish,51.88926,-8.80518,Private room,2,1,1,$66.00,13,100,Cork County Council
26676286,Kieran,54.04079,-6.18546,Entire home/apt,3,1,3,$120.00,41,98,Louth County Council
32664571,Carol,52.0474,-8.7337,Private room,2,1,1,$55.00,27,96,Cork County Council
24817660,Padraig,54.01226,-6.18455,Entire home/apt,4,1,1,$109.00,144,100,Louth County Council
22508861,Edel,54.5626,-8.18715,Entire home/apt,8,4,5,$202.00,43,99,Donegal County Council
29088178,Connie,52.1409,-8.66556,Entire home/apt,6,3,3,$100.00,19,100,Cork County Council
33709489,Karla,53.85375,-7.92065,Private room,2,1,1,$50.00,5,100,Leitrim County Council
26438015,Charlotte,53.94151,-8.07081,Private room,2,1,1,$79.00,0,,Leitrim County Council
29841302,Violetmarie,54.04249,-6.18827,Entire home/apt,5,2,4,$152.00,16,100,Louth County Council
14047392,Eileen,52.1977,-8.68152,Private room,3,1,2,$100.00,0,,Cork County Council
44658865,Richard,54.04295,-6.19035,Entire home/apt,7,3,6,$207.00,1,80,Louth County Council
46070136,Michael,52.1487,-8.6396,Private room,6,4,4,$35.00,0,,Cork County Council
46232854,Maria,53.85562,-7.92089,Entire home/apt,4,1,1,$110.00,0,,Leitrim County Council
26828388,Paul,52.13982,-8.65327,Private room,2,1,1,$90.00,1,80,Cork County Council
23594294,Sean,53.94627,-8.0861,Entire home/apt,6,2,3,$122.00,44,96,Leitrim County Council
5123398,Dave,51.56288,-9.11417,Entire home/apt,5,3,5,$405.00,9,98,Cork County Council
38404489,Michelle,52.16636,-8.65885,Private room,2,1,0,$50.00,1,100,Cork County Council
8101782,Leo,53.89524,-7.84817,Entire home/apt,5,3,0,$215.00,6,97,Leitrim County Council
14690554,Eileen,52.19661,-8.68049,Private room,2,1,1,$95.00,2,100,Cork County Council
20435508,Maureen,51.73609,-8.79359,Entire home/apt,6,3,4,$120.00,54,100,Cork County Council
45358568,Gerry,53.94691,-8.09412,Entire home/apt,6,2,6,$236.00,0,,Leitrim County Council
45588968,James,53.94599,-8.09318,Entire home/apt,16,5,18,$650.00,0,,Leitrim County Council
6137583,Heather,54.70761,-7.594,Entire home/apt,2,1,1,$79.00,3,80,Donegal County Council
6155936,Justin,54.22633,-9.09459,Entire home/apt,9,4,5,$91.00,40,94,Sligo County Council
6196396,Kristoffer,53.52457,-10.13561,Private room,2,1,2,$53.00,6,88,Galway County Council
35606014,Sam,51.66745,-8.69599,Entire home/apt,2,1,1,$73.00,0,,Cork County Council
44108394,Anita,55.06432,-7.42632,Entire home/apt,16,6,10,$500.00,7,97,Donegal County Council
40937377,Ann,51.65473,-8.68699,Entire home/apt,10,5,6,$250.00,14,100,Cork County Council
14308632,Sonya,54.29705,-7.87223,Entire home/apt,4,2,2,$130.00,36,99,Cavan County Council
1694627,Fionnuala,51.65784,-8.79088,Entire home/apt,15,6,9,$300.00,5,100,Cork County Council
15504411,Siobhan,54.9684,-7.38866,Entire home/apt,7,3,3,$92.00,51,99,Donegal County Council
16186677,Love Connemara Cottages,53.56569,-10.01164,Entire home/apt,7,3,4,$103.00,8,95,Galway County Council
25516029,Eddie,55.20546,-7.42651,Entire home/apt,5,2,3,$75.00,61,98,Donegal County Council
29816657,Kate,51.67976,-8.52538,Entire home/apt,8,3,6,$90.00,129,95,Cork County Council
27590756,Jason,55.14086,-7.44395,Private room,4,1,3,$60.00,15,99,Donegal County Council
16505977,Róisín,54.6372,-8.18368,Private room,2,1,1,$60.00,8,100,Donegal County Council
27186995,Margaret,51.70647,-8.52464,Entire home/apt,4,2,2,$59.00,50,97,Cork County Council
17267857,Ann,51.82284,-10.27183,Entire home/apt,8,4,5,$320.00,6,100,Kerry County Council
28279624,Amelia,54.95328,-7.42131,Private room,2,1,1,$60.00,18,98,Donegal County Council
12299131,Stay Walled City,55.09274,-7.22915,Entire home/apt,4,,2,$70.00,181,96,Donegal County Council
2827662,Martha,51.70428,-8.52455,Entire home/apt,3,2,2,$110.00,0,,Cork County Council
24101458,Lynda,55.1279,-7.22931,Entire home/apt,6,3,3,$110.00,28,100,Donegal County Council
14987563,Celia,51.80493,-8.64318,Private room,2,3,2,$35.00,89,99,Cork County Council
43437846,Veronica,51.7719,-8.50025,Entire home/apt,2,1,0,$153.00,34,99,Cork County Council
